date,gameId,pick,avgEdge,modelCount,totalModels,price,result,homeTeam,awayTeam
2026-01-24,4b39e3394d32bcc329baedc9933ce0ff,Over 149.5,5.7743460890129725,18,19,-110,w,UNLV Rebels,San Diego St Aztecs
2026-01-24,f4d4fabe9ffeadc2c9fdb3220bfa17c4,Under 137.5,5.0373913505516725,16,19,-112,l,Hampton Pirates,UNC Wilmington Seahawks
2026-01-24,18c6bdc5db5320d5d04771ce162432c3,Under 136.5,3.07714070344723,10,19,-110,l,UConn Huskies,Villanova Wildcats
2026-01-26,8c9ff307269aa99e3af867b6173f5693,Over 141.5,5.082411748282016,18,18,-115,w,Fairleigh Dickinson Knights,Le Moyne Dolphins
2026-01-27,1478cc8b93428a157ecdbb8a1910e40c,Michigan St Spartans -14.5,4.101285511665283,16,18,-120,l,Rutgers Scarlet Knights,Michigan St Spartans
2026-01-28,c23c391402e5685b92a3fa2a6ae03373,Under 128.5,7.089541192684275,21,21,-110,w,UTEP Miners,Louisiana Tech Bulldogs
2026-01-28,314b1f44baca242e136fbbf90f6e7a1d,Under 130.5,6.922448231357778,21,21,-110,w,Southern Illinois Salukis,Northern Iowa Panthers
2026-01-28,cd97af3c1d1f3b80b1b99715114ca5ce,Over 145.5,4.612719020329562,19,21,-110,w,Miami Hurricanes,Stanford Cardinal
2026-01-28,ed3ed66d114052a1ad8e193bb0d0b446,Over 139.5,3.8883780668902963,16,21,-115,w,Southern Jaguars,Miss Valley St Delta Devils
2026-01-28,ffe289b2f8b1fb6ee9f5ca932fa33e73,Sam Houston St Bearkats +1.5,3.8784292477326736,18,21,-108,w,Missouri St Bears,Sam Houston St Bearkats
2026-01-29,1c467fa13c290eff0931ae7a842b7acd,Under 133.5,8.814561596996247,21,21,-110,l,Towson Tigers,UNC Wilmington Seahawks
2026-01-29,704f779cd8bfb5ab1ea51731fa5504b4,Over 152.5,6.7313798741707584,21,21,-110,l,South Dakota Coyotes,Oral Roberts Golden Eagles
2026-01-29,ff0ede384cb979aeb3e8b7f86d8258c1,Under 139.5,4.188583886943674,19,21,-105,l,UC Irvine Anteaters,Hawai'i Rainbow Warriors
2026-01-29,0b927b8d1b2eb3bcc6c023e0879c8ff9,Over 152.5,3.7336801529204005,17,21,-110,w,Iowa State Cyclones,Colorado Buffaloes
